Customer,Segment,Primary_Rep,Net_Revenue,Total_Invoice_Revenue,Total_Credits,Num_Orders,Avg_Order_Value,Median_Order_Value,Total_Hats_Ordered,Avg_Hats_Per_Order,First_Order_Date,Last_Order_Date,Days_Since_Last_Order,Account_Age_Days,Avg_Days_Between_Orders,Monthly_Revenue,Monthly_Hats,Daily_Hat_Velocity,Days_To_50pct,Recommended_Visit_Days,Hard_Deadline_Days,Next_Visit_Date,Urgency
Clinton Market,B - Steady Performers,Lamar Helm,5904.0,8052.0,-2148.0,5,1610.4,1344.0,678,135.6,2025-04-15,2026-01-09,28,297,67.25,605.110303030303,69.48929292929293,2.01635687732342,51.57817109144543,41.0,52.0,2026-02-19,Urgent (< 2 weeks)
Town Pump - Great Falls #5,B - Steady Performers,Unassigned,5904.0,6312.0,-408.0,5,1262.4,1248.0,532,106.4,2025-05-06,2026-01-30,7,276,67.25,651.1513043478261,58.674202898550725,1.5821561338289964,65.73308270676691,52.0,66.0,2026-03-23,Upcoming (1-2 months)
Great Scotts-Eagle,B - Steady Performers,Bobbi Marshall,5875.5,7248.0,-1372.5,4,1812.0,1680.0,610,152.5,2025-05-09,2025-12-11,57,273,72.0,655.129010989011,68.01611721611722,2.1180555555555554,49.1016393442623,39.0,49.0,2026-01-19,OVERDUE
Joe’s Main Street Market,B - Steady Performers,Jason Black,5760.0,5760.0,0.0,3,1920.0,1920.0,485,161.66666666666666,2025-05-22,2025-11-19,79,260,90.5,674.3630769230768,56.78230769230769,1.7863720073664824,58.218556701030934,46.0,58.0,2026-01-04,OVERDUE
Grocery Outlet - Incline Village,B - Steady Performers,Unassigned,5743.1,6719.2,-976.0999999999999,6,1119.8666666666666,998.8,567,94.5,2025-05-13,2026-02-06,0,269,53.8,649.8883420074351,64.16163568773234,1.7565055762081785,59.20846560846561,47.0,59.0,2026-03-25,Upcoming (1-2 months)
Town Pump - Polson #1 - 3610-1347,B - Steady Performers,Unassigned,5740.0,6640.0,-900.0,6,1106.6666666666667,1026.0,560,93.33333333333333,2025-04-09,2025-12-05,63,303,48.0,576.6521452145215,56.25874587458746,1.9444444444444444,53.48571428571429,43.0,53.0,2026-01-17,OVERDUE
Westside Market,B - Steady Performers,Lamar Helm,5712.0,5712.0,0.0,4,1428.0,1572.0,481,120.25,2025-04-16,2025-10-06,123,296,57.666666666666664,587.4097297297297,49.464999999999996,2.0852601156069364,49.873873873873876,40.0,50.0,2025-11-15,OVERDUE
The Hat Shop,B - Steady Performers,Ann Wheelock,5592.0,5592.0,0.0,4,1398.0,1440.0,471,117.75,2025-04-09,2025-11-03,95,303,69.33333333333333,561.7837623762376,47.31762376237624,1.6983173076923077,61.237084217975934,49.0,61.0,2025-12-22,OVERDUE
Town Pump-Parent Company:,B - Steady Performers,VIEGEAR,5581.0,5581.0,0.0,20,279.05,203.0,470,23.5,2025-11-05,2025-12-09,59,93,1.7894736842105263,1826.727311827957,153.83655913978495,13.132352941176471,7.919372900335946,6.0,8.0,2025-12-15,OVERDUE
Town Pump - Columbia Falls #2 - 8910,B - Steady Performers,Unassigned,5532.0,5532.0,0.0,5,1106.4,344.0,466,93.2,2025-04-15,2025-12-05,63,297,58.5,566.9834343434344,47.76107744107745,1.5931623931623933,65.27896995708154,52.0,65.0,2026-01-26,OVERDUE
Corner Cenex,B - Steady Performers,Unassigned,5520.0,5520.0,0.0,4,1380.0,1242.0,465,116.25,2025-04-11,2025-12-02,66,301,78.33333333333333,558.2352159468439,47.02524916943522,1.4840425531914894,70.07885304659499,56.0,70.0,2026-01-27,OVERDUE
Grocery Outlet - Grants Pass,B - Steady Performers,Unassigned,5493.4,5493.4,0.0,5,1098.6799999999998,1203.1,463,92.6,2025-07-23,2025-12-17,51,198,36.75,844.5408888888888,71.18040404040404,2.5197278911564625,41.27429805615551,33.0,41.0,2026-01-19,OVERDUE
Grocery Outlet - Murrieta,B - Steady Performers,Unassigned,5357.2,5357.2,0.0,4,1339.3,1271.1999999999998,451,112.75,2025-05-21,2025-12-10,58,261,67.66666666666667,624.8014099616859,52.59938697318008,1.666256157635468,62.415373244641536,50.0,62.0,2026-01-29,OVERDUE
Bob's Valley Market,B - Steady Performers,Lamar Helm,5328.0,5328.0,0.0,5,1065.6,1008.0,449,89.8,2025-05-06,2025-11-21,77,276,49.75,587.6243478260869,49.52014492753623,1.8050251256281407,57.61692650334076,46.0,58.0,2026-01-06,OVERDUE
Parkland On The Run #80122,B - Steady Performers,Unassigned,5328.0,5712.0,-384.0,4,1428.0,1560.0,481,120.25,2025-04-02,2025-10-03,126,310,61.333333333333336,523.1752258064516,47.231096774193546,1.9605978260869565,53.04504504504504,42.0,53.0,2025-11-14,OVERDUE
Giovanni's Fish Market,B - Steady Performers,VIEGEAR,5301.0,5301.0,0.0,5,1060.2,1152.0,447,89.4,2025-11-10,2025-12-23,45,88,10.75,1833.6640909090909,154.62136363636364,8.316279069767443,12.50559284116331,10.0,13.0,2026-01-02,OVERDUE
