Customer,Segment,Primary_Rep,Net_Revenue,Visit_Every_Days,Hard_Deadline_Days,Visits_Per_Year,Visit_Cadence,Daily_Hat_Velocity
Good2Go #422,D - Low & Slow,Unassigned,463.5,107.0,134.0,3.4,Infrequent (90+ days),0.7738095238095238
Walters Family Foods - ACE,D - Low & Slow,Lamar Helm,2208.0,107.0,134.0,3.4,Infrequent (90+ days),0.7750410509031199
Good2Go #701,D - Low & Slow,Unassigned,169.5,107.0,134.0,3.4,Infrequent (90+ days),0.7765567765567766
Faber,D - Low & Slow,Lamar Helm,3000.0,107.0,134.0,3.4,Infrequent (90+ days),0.7741935483870968
Spoko Fuel,C - Moderate Movers,Ann Wheelock,2928.0,108.0,136.0,3.4,Infrequent (90+ days),0.7670807453416149
KJ'S Garrity 66,D - Low & Slow,Unassigned,1713.0,108.0,135.0,3.4,Infrequent (90+ days),0.7688679245283019
Davis Foods,C - Moderate Movers,InHouse Orders,2592.0,108.0,136.0,3.4,Infrequent (90+ days),0.7657342657342657
Fast Stop #1136,D - Low & Slow,Unassigned,576.0,108.0,135.0,3.4,Infrequent (90+ days),0.7681159420289855
Grocery Outlet - Ridgecrest,D - Low & Slow,Unassigned,1316.6,108.0,135.0,3.4,Infrequent (90+ days),0.7708333333333334
Grocery Outlet - Smelterville,D - Low & Slow,Unassigned,2473.8,108.0,135.0,3.4,Infrequent (90+ days),0.767741935483871
Good 2 Go #306,E - New / One-Time,Unassigned,528.0,108.0,135.0,3.4,Infrequent (90+ days),0.7702702702702703
Buck Electric Ace Hardware,E - New / One-Time,Natalie  Brydson,2496.0,109.0,136.0,3.3,Infrequent (90+ days),0.7636363636363637
Anderson Hardware & Supply,E - New / One-Time,Bobbi Marshall,1363.5,109.0,136.0,3.3,Infrequent (90+ days),0.7641509433962265
Grocery Outlet - NW Fresno,E - New / One-Time,Unassigned,1271.2,109.0,136.0,3.3,Infrequent (90+ days),0.7642857142857142
WAVES MART & GRILL,E - New / One-Time,JADEN BLACK,948.0,109.0,137.0,3.3,Infrequent (90+ days),0.7608695652173914
Grocery Outlet - Laguna Niguel,E - New / One-Time,Unassigned,2360.7999999999997,109.0,136.0,3.3,Infrequent (90+ days),0.7624521072796935
Auto Hardware Farm Ranch,C - Moderate Movers,Andy Coon,1344.0,110.0,138.0,3.3,Infrequent (90+ days),0.7554945054945055
Bucks Travel Stop,E - New / One-Time,Merlin Gleed,888.0,110.0,137.0,3.3,Infrequent (90+ days),0.7575757575757576
Benedict's Market,D - Low & Slow,Andy Coon,1983.0,110.0,138.0,3.3,Infrequent (90+ days),0.7531512605042018
Dave's Sports Shop,E - New / One-Time,Eric Arnold,1032.0,110.0,138.0,3.3,Infrequent (90+ days),0.751937984496124
Terrace Lakes Resort,D - Low & Slow,Bobbi Marshall,2619.0,111.0,139.0,3.3,Infrequent (90+ days),0.7472627737226277
Samuels Store and Blue Heron Cafe,D - Low & Slow,Ann Wheelock,1152.0,111.0,139.0,3.3,Infrequent (90+ days),0.75
Grocery Outlet - Encinitas,E - New / One-Time,Unassigned,2360.7999999999997,111.0,139.0,3.3,Infrequent (90+ days),0.7481203007518797
Grocery Outlet - Albany,C - Moderate Movers,Unassigned,4321.2,111.0,139.0,3.3,Infrequent (90+ days),0.7489711934156379
Town Pump - Libby #2 - 4201-1297,D - Low & Slow,Unassigned,2628.0,111.0,139.0,3.3,Infrequent (90+ days),0.75
Town Pump Superior #1374,C - Moderate Movers,Unassigned,1485.0,111.0,139.0,3.3,Infrequent (90+ days),0.75
Good2Go #419,D - Low & Slow,Unassigned,251.69999999999993,111.0,139.0,3.3,Infrequent (90+ days),0.7461538461538462
Valley Farmers Supply Reed Point,D - Low & Slow,Lamar Helm,2017.5,111.0,138.0,3.3,Infrequent (90+ days),0.7510548523206751
Black Sheep Sporting Goods,E - New / One-Time,Unassigned,2496.0,111.0,139.0,3.3,Infrequent (90+ days),0.75
Bucks Ace Hardware,E - New / One-Time,Andy Coon,72.0,112.0,140.0,3.3,Infrequent (90+ days),0.7402597402597403
Market Express (Chevron),D - Low & Slow,Jason Black,1824.0,112.0,140.0,3.3,Infrequent (90+ days),0.7403846153846154
Cousins Inn,D - Low & Slow,Elijah Benedick,1152.0,112.0,140.0,3.3,Infrequent (90+ days),0.7441860465116279
Bud's Market Place,D - Low & Slow,Bobbi Marshall,2472.0,112.0,140.0,3.3,Infrequent (90+ days),0.740546218487395
Grocery Outlet - Fillmore,C - Moderate Movers,Unassigned,3450.3999999999996,113.0,142.0,3.2,Infrequent (90+ days),0.7348484848484849
Ruggiero's Ace Hardware,E - New / One-Time,Ann Wheelock,2422.5,114.0,143.0,3.2,Infrequent (90+ days),0.726643598615917
Todd's Market,D - Low & Slow,Jason Black,1536.0,114.0,142.0,3.2,Infrequent (90+ days),0.7303370786516854
Riggins Whitewater Market,D - Low & Slow,Unassigned,2089.5,114.0,143.0,3.2,Infrequent (90+ days),0.728358208955224
Quinns Hot Springs Resort,C - Moderate Movers,Ann Wheelock,2760.0,114.0,143.0,3.2,Infrequent (90+ days),0.7295597484276729
Goodies Market,D - Low & Slow,Ann Wheelock,1320.0,115.0,144.0,3.2,Infrequent (90+ days),0.7207792207792207
Town Pump - Helena #8,D - Low & Slow,Unassigned,2160.0,115.0,144.0,3.2,Infrequent (90+ days),0.7237076648841355
Grocery Outlet - Prosser,D - Low & Slow,Unassigned,2315.4,116.0,145.0,3.1,Infrequent (90+ days),0.7185185185185186
A&B Foods #2,D - Low & Slow,Unassigned,1476.0,116.0,145.0,3.1,Infrequent (90+ days),0.7177142857142856
Parkland Store #80201,D - Low & Slow,Unassigned,1632.0,117.0,146.0,3.1,Infrequent (90+ days),0.711111111111111
Red Diamond - Wilmington,D - Low & Slow,JADEN BLACK,2869.5,117.0,147.0,3.1,Infrequent (90+ days),0.7076411960132891
Fast Stop #1143,D - Low & Slow,Unassigned,1543.5,117.0,147.0,3.1,Infrequent (90+ days),0.7069377990430622
Kellys Convenience Center,C - Moderate Movers,Unassigned,2928.0,118.0,148.0,3.1,Infrequent (90+ days),0.7033898305084746
Grocery Outlet - Long Beach 7th,E - New / One-Time,Unassigned,2360.7999999999997,118.0,148.0,3.1,Infrequent (90+ days),0.7007042253521126
Crumbos Inc.,D - Low & Slow,Andy Coon,2172.0,118.0,148.0,3.1,Infrequent (90+ days),0.7038461538461539
A&B Foods,D - Low & Slow,Unassigned,1824.0,119.0,150.0,3.1,Infrequent (90+ days),0.6954545454545454
Grocery Outlet - Beaverton,C - Moderate Movers,Unassigned,2542.3999999999996,119.0,150.0,3.1,Infrequent (90+ days),0.6948051948051948
Watsons Market,C - Moderate Movers,Unassigned,2904.0,119.0,149.0,3.1,Infrequent (90+ days),0.6960227272727273
Lake Kathryne Ace Hardware,D - Low & Slow,Natalie  Brydson,1920.0,120.0,150.0,3.0,Infrequent (90+ days),0.6923076923076923
Grocery Outlet - Baker City,C - Moderate Movers,Unassigned,3087.2,120.0,151.0,3.0,Infrequent (90+ days),0.6905710491367862
Speedy Singh Truck Stop,C - Moderate Movers,Lamar Helm,3624.0,120.0,150.0,3.0,Infrequent (90+ days),0.6931818181818182
M&W Emmett Chevron,E - New / One-Time,Unassigned,0.0,121.0,151.0,3.0,Infrequent (90+ days),0.6882591093117408
Quick Pantry 100,E - New / One-Time,Unassigned,1344.0,121.0,152.0,3.0,Infrequent (90+ days),0.6848484848484848
Grocery Outlet - Santa Clarita,E - New / One-Time,Unassigned,2360.7999999999997,121.0,151.0,3.0,Infrequent (90+ days),0.6885813148788927
Grocery Outlet - Big Bear Lake,C - Moderate Movers,Unassigned,3382.3,121.0,152.0,3.0,Infrequent (90+ days),0.6850961538461539
Broulim's St. Anthony,C - Moderate Movers,Unassigned,2634.0,121.0,151.0,3.0,Infrequent (90+ days),0.6872586872586872
Quik Pik Midvale,E - New / One-Time,Andy Coon,672.0,122.0,153.0,3.0,Infrequent (90+ days),0.6785714285714286
Fast Stop #2244,E - New / One-Time,Unassigned,-108.0,122.0,153.0,3.0,Infrequent (90+ days),0.6779661016949152
Grocery Outlet - Airway Heights,D - Low & Slow,Unassigned,1370.2,122.0,153.0,3.0,Infrequent (90+ days),0.6817042606516291
Blue Mountain Express,E - New / One-Time,Unassigned,1920.0,123.0,155.0,3.0,Infrequent (90+ days),0.6721991701244814
RALLYSTOP 11 - SANTAQUIN,C - Moderate Movers,Unassigned,1791.0,123.0,155.0,3.0,Infrequent (90+ days),0.6730769230769231
Fast Stop #1111,D - Low & Slow,Unassigned,1116.0,123.0,155.0,3.0,Infrequent (90+ days),0.6726726726726727
Winegars Clearfield,D - Low & Slow,Unassigned,2052.0,123.0,154.0,3.0,Infrequent (90+ days),0.6734042553191489
Matteson's Country Store,D - Low & Slow,Unassigned,2256.0,124.0,155.0,2.9,Infrequent (90+ days),0.6701940035273369
Good2Go #717,D - Low & Slow,Unassigned,1536.0,124.0,156.0,2.9,Infrequent (90+ days),0.6666666666666666
Fins/BBS Tech Inc,E - New / One-Time,VIEGEAR,720.0,125.0,157.0,2.9,Infrequent (90+ days),0.6630434782608695
A-1 Smoke Shop,C - Moderate Movers,Ann Wheelock,1992.0,125.0,157.0,2.9,Infrequent (90+ days),0.6614173228346457
Good2Go #120,D - Low & Slow,Unassigned,1920.0,125.0,157.0,2.9,Infrequent (90+ days),0.6643835616438356
Lee's Marketplace #805,D - Low & Slow,Unassigned,1917.0,125.0,157.0,2.9,Infrequent (90+ days),0.6626984126984127
Allred Ace Hardware - Highland,D - Low & Slow,Jason Black,1752.0,125.0,156.0,2.9,Infrequent (90+ days),0.6646919431279621
The Market at Park City,D - Low & Slow,Andy Coon,1908.0,127.0,159.0,2.9,Infrequent (90+ days),0.6559139784946236
Good2Go #716,D - Low & Slow,Unassigned,1152.0,128.0,161.0,2.9,Infrequent (90+ days),0.6466666666666666
McLeod Mercantile-Sheridan,D - Low & Slow,Unassigned,2400.0,129.0,161.0,2.8,Infrequent (90+ days),0.6442307692307693
Grocery Outlet - Roseburg,C - Moderate Movers,Unassigned,2485.65,129.0,161.0,2.8,Infrequent (90+ days),0.6455696202531646
Stars Station King Beach,C - Moderate Movers,Jeremiah Wagenman,3552.0,129.0,161.0,2.8,Infrequent (90+ days),0.6443965517241379
The Market At Divide,D - Low & Slow,Unassigned,1896.0,129.0,162.0,2.8,Infrequent (90+ days),0.6411290322580645
Obo's Market,D - Low & Slow,Lamar Helm,1728.0,129.0,162.0,2.8,Infrequent (90+ days),0.6415929203539823
1 Stop - Seeley Lake,E - New / One-Time,Lamar Helm,657.0,129.0,162.0,2.8,Infrequent (90+ days),0.6431718061674009
Good2Go #418,D - Low & Slow,Unassigned,2553.6,129.0,162.0,2.8,Infrequent (90+ days),0.6432203389830509
Town And Country Supply-E. Laurel,C - Moderate Movers,Unassigned,1968.0,130.0,163.0,2.8,Infrequent (90+ days),0.6384615384615384
Lee's Marketplace North Ogden,D - Low & Slow,Andy Coon,2268.0,130.0,163.0,2.8,Infrequent (90+ days),0.6393305439330544
Happy Smoke,E - New / One-Time,JADEN BLACK,1344.0,130.0,163.0,2.8,Infrequent (90+ days),0.6384180790960452
Town Pump - Great Falls #6 1225,D - Low & Slow,Unassigned,2136.0,131.0,165.0,2.8,Infrequent (90+ days),0.6313932980599647
M&W Market Fruitland,C - Moderate Movers,Unassigned,1273.5,131.0,164.0,2.8,Infrequent (90+ days),0.6349206349206349
Good2Go #718,D - Low & Slow,Unassigned,1920.0,131.0,165.0,2.8,Infrequent (90+ days),0.631578947368421
Good2Go #808,E - New / One-Time,Unassigned,864.0,131.0,164.0,2.8,Infrequent (90+ days),0.6348314606741573
The Merc General Store,D - Low & Slow,Bobbi Marshall,1056.0,131.0,164.0,2.8,Infrequent (90+ days),0.6357142857142857
Dintys Market & Deli,D - Low & Slow,Elijah Benedick,1320.0,132.0,165.0,2.8,Infrequent (90+ days),0.6306818181818182
Empire Foods LLC,E - New / One-Time,Ann Wheelock,2268.0,132.0,165.0,2.8,Infrequent (90+ days),0.6303630363036303
Winners Corner,C - Moderate Movers,Andy Coon,2202.0,132.0,165.0,2.8,Infrequent (90+ days),0.6294820717131474
Grocery Outlet - Seaside,E - New / One-Time,Unassigned,1725.2,132.0,166.0,2.8,Infrequent (90+ days),0.6277056277056277
Bloomington Market,E - New / One-Time,Andy Coon,384.0,132.0,166.0,2.8,Infrequent (90+ days),0.6274509803921569
Stokes Market - Preston ID,C - Moderate Movers,Unassigned,3387.8,132.0,165.0,2.8,Infrequent (90+ days),0.6298701298701299
Sinclair (First Stop),D - Low & Slow,Jason Black,1344.0,133.0,166.0,2.7,Infrequent (90+ days),0.6263736263736264
Good2Go #707,D - Low & Slow,Unassigned,24.0,133.0,166.0,2.7,Infrequent (90+ days),0.625
Fast Stop #1144,D - Low & Slow,Unassigned,1078.0,133.0,167.0,2.7,Infrequent (90+ days),0.621923937360179
Bailey Kwik Pick,D - Low & Slow,JADEN BLACK,-147.0,134.0,168.0,2.7,Infrequent (90+ days),0.6195652173913043
Elevate Boutique,E - New / One-Time,Ann Wheelock,2184.0,134.0,167.0,2.7,Infrequent (90+ days),0.6216216216216216
Lee's Marketplace #817 Richmond,D - Low & Slow,Unassigned,1644.0,134.0,167.0,2.7,Infrequent (90+ days),0.62109375
Sam's Stop and Shop,D - Low & Slow,Ann Wheelock,1704.0,134.0,168.0,2.7,Infrequent (90+ days),0.6193548387096774
Dubois Travel Stop,E - New / One-Time,Lamar Helm,2184.0,134.0,168.0,2.7,Infrequent (90+ days),0.6195286195286195
Town Pump - Ronan #1 - 3700-1361,D - Low & Slow,Unassigned,2288.0,135.0,169.0,2.7,Infrequent (90+ days),0.6153846153846154
Valley Country Store Jerome,D - Low & Slow,Unassigned,1476.0,135.0,169.0,2.7,Infrequent (90+ days),0.6151012891344383
Quick Pantry 102,E - New / One-Time,Unassigned,1344.0,136.0,170.0,2.7,Infrequent (90+ days),0.6108108108108108
Exxon-Canton NC,E - New / One-Time,Unassigned,1344.0,136.0,170.0,2.7,Infrequent (90+ days),0.6108108108108108
Good2Go #218,D - Low & Slow,Unassigned,2016.0,136.0,170.0,2.7,Infrequent (90+ days),0.6100478468899521
Ace Hardware-Weiser #547-037,D - Low & Slow,Unassigned,2307.05,136.0,171.0,2.7,Infrequent (90+ days),0.6094929881337648
Exxon-Franklin NC,E - New / One-Time,Unassigned,1344.0,136.0,170.0,2.7,Infrequent (90+ days),0.6108108108108108
Aries Gas and Grocery,E - New / One-Time,Lamar Helm,1632.0,137.0,172.0,2.7,Infrequent (90+ days),0.6061946902654868
Polson Bay Grocery,E - New / One-Time,Lamar Helm,2184.0,137.0,171.0,2.7,Infrequent (90+ days),0.6072607260726073
Red Dot,E - New / One-Time,JADEN BLACK,1344.0,137.0,171.0,2.7,Infrequent (90+ days),0.6075268817204301
Buy and Go #6,E - New / One-Time,JADEN BLACK,2184.0,138.0,172.0,2.6,Infrequent (90+ days),0.6032786885245902
Parkland On The Run #80126,C - Moderate Movers,Unassigned,2712.0,138.0,173.0,2.6,Infrequent (90+ days),0.6026315789473684
Ace Hardware - Paradise,C - Moderate Movers,Paula Hemmen,3840.0,138.0,173.0,2.6,Infrequent (90+ days),0.6026119402985075
Valley Country Store Buhl,D - Low & Slow,Unassigned,1620.0,138.0,173.0,2.6,Infrequent (90+ days),0.6016949152542372
Quick Track #89,E - New / One-Time,Unassigned,960.0,139.0,175.0,2.6,Infrequent (90+ days),0.5955882352941176
Quick Track #92,E - New / One-Time,Unassigned,960.0,139.0,175.0,2.6,Infrequent (90+ days),0.5955882352941176
Grocery Outlet - Beaumont,E - New / One-Time,Unassigned,2184.0,139.0,175.0,2.6,Infrequent (90+ days),0.5954692556634305
Grocery Outlet - Port Hueneme,E - New / One-Time,Unassigned,2184.0,139.0,175.0,2.6,Infrequent (90+ days),0.5954692556634305
Quick Track #91,E - New / One-Time,Unassigned,960.0,139.0,175.0,2.6,Infrequent (90+ days),0.5955882352941176
Quick Track #84,E - New / One-Time,Unassigned,960.0,139.0,175.0,2.6,Infrequent (90+ days),0.5955882352941176
Grocery Outlet - Arroyo Grande,E - New / One-Time,Unassigned,2184.0,139.0,175.0,2.6,Infrequent (90+ days),0.5954692556634305
Grocery Outlet - Los Osos,C - Moderate Movers,Unassigned,3450.3999999999996,140.0,176.0,2.6,Infrequent (90+ days),0.5914634146341463
Good2Go #219,E - New / One-Time,Unassigned,876.0,140.0,175.0,2.6,Infrequent (90+ days),0.5930735930735931
Grocery Outlet - Springfield,E - New / One-Time,Unassigned,2184.0,140.0,175.0,2.6,Infrequent (90+ days),0.5935483870967742
Grocery Outlet-San Rafael,E - New / One-Time,Unassigned,2184.0,140.0,175.0,2.6,Infrequent (90+ days),0.5935483870967742
Grocery Outlet - South City,E - New / One-Time,Unassigned,441.0,140.0,175.0,2.6,Infrequent (90+ days),0.5935483870967742
Grocery Outlet - Ventura,E - New / One-Time,Unassigned,2184.0,140.0,175.0,2.6,Infrequent (90+ days),0.5935483870967742
Liberty Lake Ace Hardware,E - New / One-Time,Ann Wheelock,2184.0,140.0,175.0,2.6,Infrequent (90+ days),0.5935483870967742
Good 2 Go #714,D - Low & Slow,Unassigned,1260.0,142.0,178.0,2.6,Infrequent (90+ days),0.5839793281653747
Country Corner,C - Moderate Movers,Lamar Helm,2592.0,143.0,180.0,2.6,Infrequent (90+ days),0.5793650793650794
Puff City,E - New / One-Time,Unassigned,1128.0,144.0,181.0,2.5,Infrequent (90+ days),0.5757575757575758
McLeod Mercantile-Norris,D - Low & Slow,Unassigned,2208.0,144.0,180.0,2.5,Infrequent (90+ days),0.5767441860465117
Market At Ridgeway,E - New / One-Time,Unassigned,1248.0,145.0,181.0,2.5,Infrequent (90+ days),0.5737704918032787
Grocery Outlet - Idaho Falls,E - New / One-Time,Unassigned,1725.2,145.0,182.0,2.5,Infrequent (90+ days),0.5708661417322834
Enterprise Sinclair Gas,C - Moderate Movers,Jason Black,2196.0,145.0,182.0,2.5,Infrequent (90+ days),0.5705882352941176
HSB Basketball,E - New / One-Time,VIEGEAR,200.0,146.0,184.0,2.5,Infrequent (90+ days),0.5666666666666667
Joyco,E - New / One-Time,Unassigned,960.0,146.0,182.0,2.5,Infrequent (90+ days),0.5704225352112676
Good2Go #702,D - Low & Slow,Unassigned,252.0,146.0,182.0,2.5,Infrequent (90+ days),0.5703125
Hamletts Market,D - Low & Slow,JADEN BLACK,61.5,146.0,182.0,2.5,Infrequent (90+ days),0.5703125
Grocery Outlet - Corvallis,C - Moderate Movers,Unassigned,3818.3999999999996,147.0,184.0,2.5,Infrequent (90+ days),0.5649122807017544
Fast Stop #1107,D - Low & Slow,Unassigned,2148.0,147.0,185.0,2.5,Infrequent (90+ days),0.5630662020905923
On The Fly Gas Mart,D - Low & Slow,Bobbi Marshall,1138.5,147.0,184.0,2.5,Infrequent (90+ days),0.5650224215246638
Broulim's Thayne,C - Moderate Movers,Unassigned,2400.0,148.0,185.0,2.5,Infrequent (90+ days),0.5625
Deano's/Exxon,D - Low & Slow,Decker Larson,1164.0,149.0,187.0,2.4,Infrequent (90+ days),0.5555555555555556
Parkland On The Run #80132,D - Low & Slow,Unassigned,1248.0,149.0,186.0,2.4,Infrequent (90+ days),0.5585106382978723
Kwik Stop - Wilmington,D - Low & Slow,Unassigned,-9.0,150.0,188.0,2.4,Infrequent (90+ days),0.551948051948052
Yanceyville Mart,E - New / One-Time,Unassigned,891.0,150.0,188.0,2.4,Infrequent (90+ days),0.5526315789473685
Farmers Fresh Market,D - Low & Slow,Andy Coon,633.0,151.0,189.0,2.4,Infrequent (90+ days),0.5512820512820513
Basic American Supply,E - New / One-Time,Andy Coon,480.0,151.0,190.0,2.4,Infrequent (90+ days),0.547945205479452
M&W Marsing,C - Moderate Movers,Unassigned,1836.0,151.0,189.0,2.4,Infrequent (90+ days),0.5505050505050505
Henry's Lake Station,E - New / One-Time,Lamar Helm,780.0,152.0,190.0,2.4,Infrequent (90+ days),0.546875
Good2Go #309,E - New / One-Time,Unassigned,1248.0,152.0,190.0,2.4,Infrequent (90+ days),0.546875
M&W Market Parma,E - New / One-Time,Unassigned,-1131.0,153.0,192.0,2.4,Infrequent (90+ days),0.542016806722689
Sun Outdoors Texaco,D - Low & Slow,Andy Coon,579.0,153.0,192.0,2.4,Infrequent (90+ days),0.5416666666666666
One Stop #95,D - Low & Slow,Unassigned,1392.0,154.0,193.0,2.4,Infrequent (90+ days),0.5388127853881279
KJ's #80228,D - Low & Slow,Andy Coon,672.0,154.0,193.0,2.4,Infrequent (90+ days),0.5377358490566038
Grocery Outlet- Desert Hot Springs,C - Moderate Movers,Unassigned,2735.35,154.0,193.0,2.4,Infrequent (90+ days),0.5386363636363637
Makoti Enerbase C-Store,E - New / One-Time,Merlin Gleed,1152.0,156.0,195.0,2.3,Infrequent (90+ days),0.532967032967033
Valley Foods - Deer Lodge,D - Low & Slow,Lamar Helm,1920.0,156.0,196.0,2.3,Infrequent (90+ days),0.5313531353135313
Rasmussen Ace Hardware,D - Low & Slow,Jason Black,1152.0,156.0,195.0,2.3,Infrequent (90+ days),0.532967032967033
Harts Gas & Food 80182,C - Moderate Movers,Unassigned,2304.0,156.0,195.0,2.3,Infrequent (90+ days),0.532967032967033
Good2Go #222,D - Low & Slow,Unassigned,776.9000000000001,157.0,196.0,2.3,Infrequent (90+ days),0.5300207039337473
Fairway Foods - Idyllwild,E - New / One-Time,Devin Friebe,1344.0,157.0,197.0,2.3,Infrequent (90+ days),0.5280373831775701
Fast Gas #11,C - Moderate Movers,Unassigned,2940.0,157.0,197.0,2.3,Infrequent (90+ days),0.5285714285714286
Good2Go #106,E - New / One-Time,Unassigned,811.5,158.0,198.0,2.3,Infrequent (90+ days),0.5265306122448979
Grocery Outlet - Lebanon,C - Moderate Movers,Unassigned,3398.45,158.0,198.0,2.3,Infrequent (90+ days),0.5245614035087719
Good2Go-#117,D - Low & Slow,Unassigned,1872.0,160.0,200.0,2.3,Infrequent (90+ days),0.5188834154351395
Fast Stop #1151,E - New / One-Time,Unassigned,648.0,161.0,201.0,2.3,Infrequent (90+ days),0.5167785234899329
L&P Grocery,C - Moderate Movers,Lamar Helm,2352.0,161.0,202.0,2.3,Infrequent (90+ days),0.515625
Ace Hardware - Brighton Pointe,D - Low & Slow,Andy Coon,480.0,162.0,203.0,2.3,Infrequent (90+ days),0.5128205128205128
Grocery Outlet - Red Bluff,C - Moderate Movers,Unassigned,2905.6,163.0,204.0,2.2,Infrequent (90+ days),0.5104602510460251
Kenny's IGA,D - Low & Slow,Elijah Benedick,2160.0,163.0,204.0,2.2,Infrequent (90+ days),0.5098920863309352
Grocery Outlet - Yucca Valley,E - New / One-Time,Unassigned,1271.2,164.0,206.0,2.2,Infrequent (90+ days),0.5047169811320755
Town And Country Supply-Bridger,C - Moderate Movers,Unassigned,2976.0,164.0,206.0,2.2,Infrequent (90+ days),0.5060728744939271
Red Apple Marketplace,E - New / One-Time,Unassigned,1344.0,165.0,206.0,2.2,Infrequent (90+ days),0.5044642857142857
Grocery Outlet VIE Orders,D - Low & Slow,VIEGEAR,86.0,166.0,208.0,2.2,Infrequent (90+ days),0.5
Town Pump - Great Falls #2 - 1213,C - Moderate Movers,Unassigned,2208.0,168.0,210.0,2.2,Infrequent (90+ days),0.4946808510638298
Middle Fork Trading Post,D - Low & Slow,Bobbi Marshall,996.0,169.0,212.0,2.2,Infrequent (90+ days),0.4909344490934449
Hawks on The Fly,C - Moderate Movers,Bobbi Marshall,1728.0,169.0,212.0,2.2,Infrequent (90+ days),0.48986486486486486
Castaway Outfitters Company,E - New / One-Time,Unassigned,432.0,170.0,213.0,2.1,Infrequent (90+ days),0.48917748917748916
Grocery Outlet - Santee,C - Moderate Movers,Unassigned,2179.2,170.0,213.0,2.1,Infrequent (90+ days),0.4893048128342246
Town Pump - Belgrade #3 - 1016,D - Low & Slow,Unassigned,1008.0,170.0,212.0,2.1,Infrequent (90+ days),0.48947368421052634
Ace Hardware Louies Home Center,E - New / One-Time,Matthew  Jorgensen,564.0,170.0,214.0,2.1,Infrequent (90+ days),0.4870689655172414
Grocery Outlet - Scappoose,C - Moderate Movers,Unassigned,1793.3,173.0,216.0,2.1,Infrequent (90+ days),0.48089171974522293
Ace Hardware - Anderson CA,C - Moderate Movers,Paula Hemmen,2688.0,173.0,216.0,2.1,Infrequent (90+ days),0.4808510638297872
Hart's 80195,C - Moderate Movers,Unassigned,1087.5,174.0,219.0,2.1,Infrequent (90+ days),0.4756944444444444
Good2Go #119,C - Moderate Movers,Unassigned,1500.0,174.0,218.0,2.1,Infrequent (90+ days),0.4774436090225564
Country Mercantile,E - New / One-Time,Ann Wheelock,1152.0,174.0,218.0,2.1,Infrequent (90+ days),0.47783251231527096
Ace Hardware-Kuna #457-019,D - Low & Slow,Unassigned,1832.4,175.0,220.0,2.1,Infrequent (90+ days),0.4731182795698925
Poplar Grove,E - New / One-Time,Unassigned,1344.0,175.0,219.0,2.1,Infrequent (90+ days),0.47478991596638653
Salmon Rapids Lodge,D - Low & Slow,Decker Larson,987.0,175.0,219.0,2.1,Infrequent (90+ days),0.47478991596638653
Conoco - Craigmont,D - Low & Slow,Decker Larson,1152.0,176.0,221.0,2.1,Infrequent (90+ days),0.470873786407767
Good2Go #122,D - Low & Slow,Unassigned,375.0,176.0,220.0,2.1,Infrequent (90+ days),0.4720194647201947
Coyotes One Stop,D - Low & Slow,Decker Larson,1212.0,177.0,222.0,2.1,Infrequent (90+ days),0.46785714285714286
Southgate Market,E - New / One-Time,Unassigned,1344.0,177.0,222.0,2.1,Infrequent (90+ days),0.46887966804979253
Grocery Outlet - Ontario OR,D - Low & Slow,Unassigned,1781.9499999999998,177.0,222.0,2.1,Infrequent (90+ days),0.46774193548387094
Valley Center Oil Corporation,E - New / One-Time,Devin Friebe,1344.0,177.0,222.0,2.1,Infrequent (90+ days),0.46887966804979253
Skyway - Robbinsville,C - Moderate Movers,JADEN BLACK,1344.0,178.0,223.0,2.1,Infrequent (90+ days),0.46703296703296704
Naples General Store,E - New / One-Time,Ann Wheelock,1344.0,178.0,223.0,2.1,Infrequent (90+ days),0.4669421487603306
Grocery Outlet - Mira Mesa,E - New / One-Time,Unassigned,1271.2,179.0,225.0,2.0,Infrequent (90+ days),0.46320346320346323
Grocery Outlet - Bermuda Dunes,E - New / One-Time,Unassigned,1271.2,179.0,225.0,2.0,Infrequent (90+ days),0.46320346320346323
Good2Go #212,E - New / One-Time,Unassigned,1008.0,179.0,224.0,2.0,Infrequent (90+ days),0.4646017699115044
Farmer's Supply Coop Weiser,D - Low & Slow,Unassigned,663.0,179.0,225.0,2.0,Infrequent (90+ days),0.4627027027027027
BJ's Mini Mart,E - New / One-Time,Unassigned,468.0,180.0,226.0,2.0,Infrequent (90+ days),0.46113989637305697
Fast Stop #1147,E - New / One-Time,Unassigned,1056.0,180.0,226.0,2.0,Infrequent (90+ days),0.46113989637305697
Ace Hardware-Mesquite,E - New / One-Time,Jason Black,1344.0,182.0,228.0,2.0,Infrequent (90+ days),0.45564516129032256
Dixie Nutrition (St. George),C - Moderate Movers,InHouse Orders,1206.0,183.0,229.0,2.0,Infrequent (90+ days),0.45408163265306123
Retail Customer,D - Low & Slow,VIEGEAR,590.0,183.0,229.0,2.0,Infrequent (90+ days),0.4537037037037037
Coffee Cup Fuel Stop - Plankinton,E - New / One-Time,Unassigned,768.0,184.0,230.0,2.0,Infrequent (90+ days),0.4513888888888889
Grocery Outlet - Lakewood,E - New / One-Time,Unassigned,1271.2,185.0,231.0,2.0,Infrequent (90+ days),0.4495798319327731
Grocery Outlet - Auburn CA,E - New / One-Time,Unassigned,1271.2,185.0,231.0,2.0,Infrequent (90+ days),0.4495798319327731
